id,title,artist,mood,tempo,genre,artist_type,chart_date,length_sec,top,year_of_birth
510,Come Join The Murder,THE WHITE BUFFALO & THE FOREST RANGERS,Melancholy,Medium Tempo,Rock,Male,20141227,206,0,0
511,The Walker,FITZ AND THE TANTRUMS,Urgent,Fast Tempo,Alternative & Punk,Mixed,20140315,241,0,0
512,Trophies,YOUNG MONEY featuring DRAKE,Sensual,Medium Tempo,Urban,Male,20140322,0,0,1986
513,La La La,NAUGHTY BOY featuring SAM SMITH,Sensual,Medium Tempo,Urban,Male,20140308,214,0,1992
514,Lookin' For That Girl,TIM McGRAW,Empowering,Medium Tempo,Traditional,Male,20140405,266,0,1967
515,Up All Night,JON PARDI,Rowdy,Medium Tempo,Traditional,Male,20140104,211,0,1985
516,Take Me To The Church,MATT McANDREW,Defiant,Medium Tempo,Pop,Male,20141206,231,0,1990
517,Where You Belong,THE WEEKND,Sensual,Medium Tempo,Alternative & Punk,Male,20150228,147,0,0
518,The Heart Of Dixie,DANIELLE BRADBERY,Empowering,Slow Tempo,Traditional,Female,20140111,3064,0,0
519,We Are Young,FUN. featuring JANELLE MONAE,Brooding,Slow Tempo,Pop,Mixed,20120317,4,1,1985
520,Really Don't Care,DEMI LOVATO featuring CHER LLOYD,Excited,Medium Tempo,Pop,Female,20140628,209,0,1992
521,Can't Raise A Man,K. MICHELLE,Sensual,Medium Tempo,Urban,Female,20140215,217,0,1982
522,Secrets,MARY LAMBERT,Excited,Medium Tempo,Pop,Female,20140920,232,0,0
523,Love Runs Out,ONEREPUBLIC,Rowdy,Medium Tempo,Alternative & Punk,Male,20140503,77,0,1979
524,Energy,DRAKE,Cool,Medium Tempo,Urban,Male,20150228,321,0,1986
525,Make It Rain,ED SHEERAN,Rowdy,Medium Tempo,Alternative & Punk,Male,20141220,220,0,1991
526,I'm Ready,AJR,Melancholy,Slow Tempo,Traditional,Female,20140621,238,0,0
527,Sugar,MAROON 5,Rowdy,Fast Tempo,Rock,Male,20150131,129,0,1981
528,18,ONE DIRECTION,Yearning,Medium Tempo,Pop,Male,20141129,76,0,1994
529,Shut Up And Dance,WALK THE MOON,Defiant,Medium Tempo,Alternative & Punk,Male,20141213,252,0,0
530,The Way You Move,OUTKAST feat SLEEPY BROWN,Energizing,Medium Tempo,Pop,Male,20040214,79,1,1975
531,Who You Love,JOHN MAYER featuring KATY PERRY,Empowering,Slow Tempo,Pop,Mixed,20140104,278,0,0
532,Beat Of The Music,BRETT ELDREDGE,Upbeat,Medium Tempo,Traditional,Male,20140222,308,0,1986
533,Let Her Go,PASSENGER,Yearning,Fast Tempo,Alternative & Punk,Male,20140104,235,0,0
534,Hold It Against Me,BRITNEY SPEARS,Excited,Fast Tempo,Pop,Female,20110129,138,1,1981
535,Ain't Worth The Whiskey,COLE SWINDELL,Empowering,Medium Tempo,Traditional,Male,20150117,251,0,1983
536,Hideaway,KIESZA,Energizing,Medium Tempo,Electronica,Female,20140802,248,0,1989
537,Lolly,MAEJOR ALI featuring JUICY J & JUSTIN BIEBER,Defiant,Medium Tempo,Urban,Male,20140111,673,0,0
538,Title,MEGHAN TRAINOR,Yearning,Medium Tempo,Pop,Female,20150110,0,0,1993
539,On Top Of The World,IMAGINE DRAGONS,Yearning,Medium Tempo,Alternative & Punk,Male,20140215,0,0,1987
540,Hold You Down,"DJ KHALED feat CHRIS BROWN, AUGUST ALSINA, FUTURE & JEREMIH",Sensual,Slow Tempo,Urban,Mixed,20140920,238,0,1989
541,Glamorous,FERGIE featuring LUDACRIS,Energizing,Medium Tempo,Pop,Mixed,20070324,279,1,1975
542,Feeling Myself,NICKI MINAJ featuring BEYONCE,Cool,Medium Tempo,Urban,Female,20150103,261,0,1982
543,Jealous,NICK JONAS,Excited,Medium Tempo,Pop,Male,20140927,352,0,1992
544,Young Girls,BRUNO MARS,Empowering,Medium Tempo,Pop,Male,20140118,222,0,1985
545,Bottoms Up,BRANTLEY GILBERT,Yearning,Medium Tempo,Traditional,Male,20140104,243,0,1985
546,Out Of The Woods,TAYLOR SWIFT,Defiant,Medium Tempo,Pop,Female,20141101,374,0,1989
547,Can't Remember To Forget You,SHAKIRA featuring RIHANNA,Urgent,Fast Tempo,Pop,Female,20140201,272,0,1977
548,Everything I Shouldn't Be Thinking About,THOMPSON SQUARE,Defiant,Medium Tempo,Alternative & Punk,Male,20140201,212,0,0
549,XO,BEYONCE,Excited,Fast Tempo,Urban,Female,20140104,221,0,1981
550,Call Me Maybe,CARLY RAE JEPSEN,Excited,Medium Tempo,Pop,Female,20120623,203,1,1985
551,Ayo,CHRIS BROWN & TYGA,Sensual,Slow Tempo,Urban,Male,20150124,211,0,1989
552,Beachin',JAKE OWEN,Yearning,Medium Tempo,Traditional,Male,20140412,5434,0,1981
553,Chasing The Sun,HILARY DUFF,Empowering,Medium Tempo,Rock,Male,20140816,0,0,1987
554,The Man,ALOE BLACC,Yearning,Medium Tempo,Urban,Male,20140118,201,0,1979
555,Low,FLO RIDA featuring T-PAIN,Brooding,Medium Tempo,Alternative & Punk,Male,20080105,212,1,1979
556,Lollipop,LIL WAYNE featuring STATIC MAJOR,Cool,Medium Tempo,Urban,Male,20080503,260,1,1982
557,Rockin' Around The Christmas Tree,BRENDA LEE,Upbeat,Medium Tempo,Traditional,Female,20140104,334,0,1944
558,Laffy Taffy,D4L,Energizing,Medium Tempo,Urban,Male,20060114,237,1,1983
559,Ultraviolence,LANA DEL REY,Empowering,Medium Tempo,Electronica,Female,20140621,209,0,1985
560,Black Widow,IGGY AZALEA featuring RITA ORA,Excited,Fast Tempo,Urban,Female,20140719,212,0,0
561,Everything Is AWESOME!!!,TEGAN AND SARA featuring THE LONELY ISLAND,Excited,Fast Tempo,Soundtrack,Mixed,20140301,278,0,0
562,Brave,SARA BAREILLES,Excited,Fast Tempo,Pop,Female,20140104,207,0,1979
563,Confessions Part II,USHER,Sensual,Medium Tempo,Urban,Male,20040724,205,1,1978
564,Seen It All,JEEZY featuring JAY Z,Defiant,Medium Tempo,Urban,Male,20140920,145,0,0
565,Part II (On The Run),JAY Z featuring BEYONCE,Energizing,Medium Tempo,Urban,Mixed,20140308,3962,0,0
566,Hips Don't Lie,SHAKIRA featuring WYCLEF JEAN,Fiery,Medium Tempo,Urban,Mixed,20060617,41,1,1977
567,Up Down (Do This All Day),T-PAIN featuring B.O.B,Energizing,Medium Tempo,Urban,Male,20140104,407,0,1985
568,Candy Shop,50 CENT featuring OLIVIA,Cool,Slow Tempo,Urban,Mixed,20050305,317,1,1975
569,Play It Again,LUKE BRYAN,Empowering,Medium Tempo,Traditional,Male,20140329,217,0,1976
570,Sleeping With A Friend,NEON TREES,Defiant,Medium Tempo,Alternative & Punk,Male,20140315,247,0,0
571,Keep Them Kisses Comin',CRAIG CAMPBELL,Gritty,Medium Tempo,Traditional,Male,20140517,229,0,0
572,Glory And Gore,LORDE,Cool,Medium Tempo,Electronica,Female,20140308,182,0,1996
573,FourFiveSeconds,RIHANNA & KANYE WEST & PAUL McCARTNEY,Empowering,Medium Tempo,Pop,Mixed,20150207,219,0,1981
574,Get On Your Knees,NICKI MINAJ featuring ARIANA GRANDE,Energizing,Fast Tempo,Urban,Female,20150103,0,0,1982
575,My Eyes,BLAKE SHELTON featuring GWEN SEBASTIAN,Empowering,Medium Tempo,Traditional,Mixed,20140517,258,0,0
576,Radioactive,IMAGINE DRAGONS,Brooding,Medium Tempo,Alternative & Punk,Male,20140104,241,0,1979
577,Bad Bitch,FRENCH MONTANA featuring JEREMIH,Energizing,Medium Tempo,Urban,Male,20150110,201,0,0
578,Royals,LORDE,Cool,Medium Tempo,Electronica,Female,20131012,320,1,1996
579,Heart Attack,ENRIQUE IGLESIAS,Sensual,Slow Tempo,Other,Male,20140111,228,0,1975
580,Blurred Lines,ROBIN THICKE featuring T.I. & PHARRELL,Energizing,Medium Tempo,Pop,Male,20130622,14,1,1977
581,Safe And Sound,CAPITAL CITIES,Excited,Medium Tempo,Alternative & Punk,Male,20140104,0,0,0
582,Slave To The Rhythm,MICHAEL JACKSON,Fiery,Medium Tempo,Urban,Male,20140607,238,0,1958
583,Black And Yellow,WIZ KHALIFA,Cool,Medium Tempo,Urban,Male,20110219,3662,1,1987
584,Chainsaw,THE BAND PERRY,Yearning,Medium Tempo,Traditional,Mixed,20140531,1158,0,1983
585,I Believe,FANTASIA,Empowering,Medium Tempo,Urban,Female,20040710,205,1,1984
586,Wild Life,JACK & JACK,Defiant,Medium Tempo,Pop,Male,20140823,41,0,0
587,Masterpiece,JESSIE J,Energizing,Medium Tempo,Pop,Female,20150103,199,0,1988
588,Sexy And I Know It,LMFAO,Aggressive,Medium Tempo,Urban,Male,20120107,260,1,1975
589,Adore You,MILEY CYRUS,Empowering,Medium Tempo,Pop,Female,20140111,1351,0,1992
590,Explosions,ELLIE GOULDING,Empowering,Slow Tempo,Electronica,Female,20140301,301,0,1986
591,I Bet My Life,IMAGINE DRAGONS,Yearning,Medium Tempo,Alternative & Punk,Male,20141115,235,0,1979
592,I Won,FUTURE featuring KANYE WEST,Sensual,Slow Tempo,Urban,Male,20140510,231,0,1977
593,My Hitta,YG X JEEZY X RICH HOMIE QUAN,Cool,Medium Tempo,Urban,Male,20140104,227,0,0
594,Not Afraid,EMINEM,Energizing,Medium Tempo,Urban,Male,20100522,259,1,1974
595,Classic,MKTO,Energizing,Medium Tempo,Pop,Male,20140301,297,0,0
596,Makes Me Wonder,MAROON5,Energizing,Medium Tempo,Pop,Male,20070512,226,1,1979
597,Girl In A Country Song,MADDIE & TAE,Upbeat,Medium Tempo,Traditional,Female,20140816,212,0,0
598,Buy U A Drank (Shawty Snappin'),T-PAIN featuring YUNG JOC,Energizing,Fast Tempo,Urban,Male,20070526,243,1,1989
599,I Put A Spell On You,ANNIE LENNOX,Gritty,Medium Tempo,Pop,Female,20150228,200,0,1954
600,Crank That (Soulja Boy),SOULJA BOY,Defiant,Slow Tempo,Urban,Male,20070915,152,1,1990
601,6 God,DRAKE,Cool,Medium Tempo,Urban,Male,20150307,357,0,1986
602,Hollaback,GWEN STEFANI,Defiant,Medium Tempo,Pop,Female,20050507,77,1,1969
603,Drink To That All Night,JERROD NIEMANN,Upbeat,Medium Tempo,Traditional,Male,20140118,267,0,0
604,Look At You,BIG & RICH,Empowering,Medium Tempo,Traditional,Male,20140920,235,0,0
605,Love In This Club,USHER featuring YOUNG JEEZY,Sensual,Medium Tempo,Urban,Male,20080315,198,1,1978
606,Burn,ELLIE GOULDING,Energizing,Medium Tempo,Electronica,Female,20140104,255,0,1986
607,Shots,IMAGINE DRAGONS,Yearning,Medium Tempo,Alternative & Punk,Male,20150214,523,0,1979
608,Mmm Yeah,AUSTIN MAHONE featuring PITBULL,Excited,Medium Tempo,Urban,Male,20140208,541,0,0
609,Inside Your Heaven,CARRIE UNDERWOOD,Empowering,Medium Tempo,Traditional,Female,20050702,205,1,1983
610,When I Was Your Man,BRUNO MARS,Sophisticated,Medium Tempo,Pop,Male,20130420,223,1,1985
611,Chillin' It,COLE SWINDELL,Yearning,Medium Tempo,Traditional,Male,20140104,206,0,1983
612,Jungle,JAMIE N COMMONS & X AMBASSADORS,Defiant,Medium Tempo,Rock,Male,20140628,235,0,0
613,Boom Boom Pow,THE BLACK EYED PEAS,Cool,Medium Tempo,Urban,Mixed,20090418,41,1,1975
614,Last Friday Night (T.G.I.F.),KATY PERRY,Excited,Medium Tempo,Pop,Female,20110827,252,1,1984
615,Rolling In The Deep,ADELE,Yearning,Medium Tempo,Pop,Female,20110521,124,1,1988
616,All Me,DRAKE featuring 2 CHAINZ & BIG SEAN,Defiant,Medium Tempo,Urban,Male,20140104,163,0,1986
617,Get Me Some Of That,THOMAS RHETT,Yearning,Medium Tempo,Traditional,Male,20140125,220,0,1990
618,How I Feel,FLO RIDA,Excited,Medium Tempo,Urban,Male,20140125,258,0,1979
619,Slow Motion,TREY SONGZ,Sensual,Medium Tempo,Urban,Male,20150207,239,0,1984
620,Heaven,JAKE WORTHINGTON,Empowering,Slow Tempo,Traditional,Male,20140531,208,0,0
621,California Gurls,KATY PERRY featuring SNOOP DOGG,Excited,Medium Tempo,Pop,Mixed,20100619,235,1,1984
622,Calm Down,BUSTA RHYMES featuring EMINEM,Defiant,Medium Tempo,Urban,Male,20140719,211,0,1972
623,Like A G6,FAR*EAST MOVEMENT featuring CATARACS & DEV,Sensual,Medium Tempo,Urban,Male,20101030,309,1,1981
624,We Dem Boyz,WIZ KHALIFA,Energizing,Medium Tempo,Urban,Male,20140503,238,0,1987
625,Headlights,EMINEM featuring NATE RUESS,Defiant,Medium Tempo,Urban,Male,20140329,284,0,1972
626,Work Bitch,BRITNEY SPEARS,Defiant,Medium Tempo,Pop,Female,20140118,255,0,1981
627,I Gotta Feeling,THE BLACK EYED PEAS,Empowering,Medium Tempo,Urban,Mixed,20090711,174,1,1977
628,Mean To Me,BRETT ELDREDGE,Yearning,Medium Tempo,Traditional,Male,20141122,659,0,1986
629,Uma Thurman,FALL OUT BOY,Excited,Fast Tempo,Alternative & Punk,Male,20150131,1300,0,1984
630,The Blower's Daughter,MATT McANDREW,Romantic,Medium Tempo,Pop,Male,20141220,881,0,1990
631,First Love,JENNIFER LOPEZ,Peaceful,Slow Tempo,Pop,Female,20140705,238,0,1970
632,No One,ALICIA KEYS,Sophisticated,Slow Tempo,Urban,Female,20071201,157,1,1981
633,She Came To Give It To You,USHER featuring NICKI MINAJ,Energizing,Medium Tempo,Urban,Mixed,20140913,209,0,1982
634,Wasted Love,MATT McANDREW,Sentimental,Slow Tempo,Pop,Male,20150103,226,0,1990
